id,LATITUDE,LONGITUDE,Y,X
1060,37.6784645542617,-121.89909405922495,4170711.0773008023,597078.6170827346
1060,37.67959764092913,-121.89814630062934,4170837.7767920117,597160.7157421771
1060,37.680267589617685,-121.89665973267458,4170913.650618075,597290.9293841001
1060,37.6809299049822,-121.89516427993857,4170988.688859647,597421.9341193615
1060,37.681588160533295,-121.89366608771414,4171063.281642811,597553.1833973712
1060,37.68220670125997,-121.89214121914486,4171133.4979574764,597686.8347259458
1060,37.682825222182714,-121.8906163252133,4171203.7143148487,597820.4860891501
1060,37.683443723300996,-121.88909140591969,4171273.930715015,597954.1374869925
1060,37.68406220461423,-121.88756646126413,4171344.147158057,598087.7889194866
1060,37.68468066612186,-121.88604149124686,4171414.363644057,598221.440386641
1060,37.68476477448017,-121.88461176360923,4171425.195104349,598347.3972357757
1060,37.68375678519911,-121.8841324921718,4171313.860294149,598390.9891822733
1060,37.68299108977972,-121.88554770032822,4171227.420354129,598267.2102475611
1060,37.682225377264764,-121.88696287934579,4171140.980464419,598143.4313358153
1060,37.68145964765488,-121.88837802922478,4171054.5406249366,598019.6524470542
1060,37.68069390095076,-121.88979314996548,4170968.1008356023,597895.8735812982
1060,37.67995087730824,-121.89122464871593,4170884.167030673,597770.6180790128
1060,37.679366973539324,-121.89277094058897,4170817.770151214,597635.0287365633
1060,37.67878304941409,-121.89431720818416,4170751.3733122954,597499.439431227
1060,37.67819910493312,-121.89586345150119,4170684.976513839,597363.8501629888
1060,37.677615140096904,-121.89740967053979,4170618.5797557593,597228.2609318288
1060,37.67747895385973,-121.8988936380377,4170601.9313395782,597097.5755860748
11679,37.69279011371942,-121.78691304317675,4172422.652357106,606950.5977137381
11679,37.692803943890574,-121.78629023224266,4172424.8979910305,607005.4894313912
11679,37.69177056315158,-121.78637982436432,4172310.1393804816,606999.0754586485
11690,37.665046714215826,-121.79375978264052,4169336.6649082215,606386.5559003243
11690,37.66492478963647,-121.79212407676793,4169324.994577103,606530.9997122991
11690,37.664207164177284,-121.79313855742014,4169244.220263952,606442.5471487427
11690,37.664397766728015,-121.79461418734736,4169263.6936374656,606312.1229998043
11702,37.66400739379576,-121.7754016427512,4169242.341338225,608007.2543504781
11702,37.663212593052805,-121.77470513613737,4169154.959082518,608069.8397998825
11702,37.663310098877666,-121.77625167377936,4169163.995983199,607933.2901354029
11713,37.68006320673426,-121.76831041906702,4171031.9660884356,608609.3038385744
11713,37.679323132344145,-121.76871010982933,4170949.3898039735,608575.1368568472
1172,37.68842817366042,-122.16144437610079,4171577.178707708,573934.0132013338
1172,37.68754971281536,-122.16010031477947,4171480.7754377094,574053.3924850879
1172,37.686563924345,-122.15886367091481,4171372.380935187,574163.4102270348
1172,37.68602724888038,-122.1600518290313,4171311.897593078,574059.1814933704
1172,37.68692852127639,-122.16101260984831,4171411.1341964155,573973.5716000313
1172,37.68817345969636,-122.16179615404313,4171548.6409068066,573903.2497543504
11728,37.67775043602611,-121.76282418150403,4170781.7303358996,609096.4819079685
11728,37.67669863607122,-121.76345544454453,4170664.2957840306,609042.353378007
11740,37.677772319585756,-121.7413911043215,4170809.323708854,610986.5351787867
11740,37.67639400765444,-121.7415604627636,4170656.195577343,610973.6535354386
11740,37.676202393192185,-121.7401082245348,4170636.6559266155,611102.008091731
11740,37.67559756468591,-121.74084060719429,4170568.6805863082,611038.3226965576
11740,37.67587392355378,-121.7419597167503,4170598.0181330475,610939.2189854279
11740,37.67725861211309,-121.74198787515348,4170751.619875627,610934.6736635452
11752,37.691210706518575,-121.72687162646818,4172317.6480138153,612246.6871136174
11752,37.69116016234221,-121.72497695551424,4172314.311551053,612413.8160868036
11752,37.68997638080818,-121.72456358998461,4172183.4631981435,612452.0503497437
11752,37.689851625373315,-121.72635656297831,4172167.470773878,612294.1498994714
11752,37.69050568978338,-121.72758674882371,4172238.5676385616,612184.6972539929
11764,37.69701785886908,-121.75311480514915,4172930.8528181454,609924.2609069283
11764,37.69679567265444,-121.75183767979419,4172907.6999172266,610037.1840893985
11764,37.69593575009004,-121.75158603190279,4172812.5844984353,610060.6415040739
11764,37.69612985327594,-121.75290810162443,4172832.5684617707,609943.795975132
11775,37.6964166423568,-121.77009430689299,4172844.3581926734,608428.1802910242
11775,37.695254741892576,-121.76987403208247,4172715.6969975173,608449.2931096365
11775,37.694288443122446,-121.77048871548818,4172607.7720446647,608396.5067981688
11775,37.695509443829145,-121.77087878908863,4172742.7942690197,608360.338385994
11787,37.71890776496832,-121.74617602457637,4175367.775125497,610503.4889192636
11787,37.71884456100643,-121.74461177124819,4175362.6096482375,610641.4511503365
11787,37.71808574934005,-121.7437828974498,4175279.3965629623,610715.634962451
11787,37.7173313194642,-121.74514941536407,4175194.0750227766,610596.3148954705
11787,37.7179311456743,-121.74637624951764,4175259.1795136426,610487.2924420984
11799,37.71037200544215,-121.7302764988139,4174439.5848401967,611917.6635743965
11799,37.71104277363775,-121.72946739062128,4174514.9761782405,611987.9743934709
11799,37.70987944360228,-121.72947153511706,4174385.8956316193,611989.3601111255
11809,37.71373541362507,-121.72169827366574,4174823.053263959,612668.7149749832
11809,37.71328529976596,-121.72003730594791,4174775.1111672902,612815.8004060142
11809,37.712863881618304,-121.72004193096079,4174728.347695096,612816.0318052033
11809,37.71337399668019,-121.72173727443892,4174782.905799011,612665.8246810815
12357,37.718537411206,-121.7215232470157,4175356.063420489,612676.8682429562
12357,37.7185567300769,-121.7199702088465,4175360.076943378,612813.7196989506
12357,37.71786914170637,-121.71964859116808,4175284.1739524878,612843.1093866444
12357,37.71800641317569,-121.72119216416282,4175297.545652518,612706.8536349209
12369,37.724199222471036,-121.72991116595713,4175974.201854678,611929.0578820696
12369,37.7245913530177,-121.72873958382979,4176019.111545401,612031.7193814085
12369,37.724469501041085,-121.72724659856236,4176007.3792246664,612163.4802136088
12369,37.72342839563788,-121.72752787594605,4175891.5276694214,612140.2610955986
12369,37.72351079582074,-121.72915924606826,4175898.7175240153,611996.3618342119
12392,37.62607330255166,-121.75955563468136,4165051.8501572646,609460.5604247705
12392,37.62708477702687,-121.75842191881026,4165165.39815698,609559.1220427884
12392,37.628180435899985,-121.75781119824016,4165287.676707358,609611.4059725631
12392,37.62944264518926,-121.75761406193236,4165427.951385256,609626.9477665653
12392,37.62929457328281,-121.75604990028754,4165413.351308959,609765.1912751388
12392,37.62789681261751,-121.75627921908979,4165257.999014433,609747.0112019466
12392,37.62649905124624,-121.75650852927943,4165102.646743153,609728.8310663864
12392,37.625629966292216,-121.75736694619005,4165005.2167461384,609654.3560861766
12392,37.62552467119493,-121.75913427438081,4164991.470203802,609498.5489818645
12392,37.62506074380192,-121.76010954118475,4164938.859029075,609413.1645362526
12392,37.62514576035909,-121.75828109800953,4164950.4253662205,609574.3957454767
12392,37.62515272076745,-121.75672866558422,4164953.011635397,609711.3840770837
12392,37.62389589914803,-121.75747504661645,4164812.692722482,609647.3641157012
12392,37.623811305931206,-121.75909038588583,4164801.4206620487,609504.9359061653
12392,37.624589332324575,-121.76053950818633,4164886.0538679403,609375.9117715382
12405,37.59900190594771,-122.01619824366621,4161779.8972783675,586844.4727190089
12405,37.597700171714216,-122.01617262589588,4161635.495230864,586848.2473844328
12405,37.5984970444216,-122.01737110544246,4161722.7994033373,586741.5226446684
12416,37.59589594228851,-122.01068416220572,4161440.408798596,587334.8678285615
12429,37.602479213366024,-122.07708988015638,4162111.122865843,581465.3863134894
12429,37.601386912902356,-122.0764543364509,4161990.4856411605,581522.6791187723
12429,37.600606406524555,-122.07490823296996,4161905.2333495724,581660.0120912865
12429,37.60119983337274,-122.076161928463,4161969.9834174397,581548.695184177
12429,37.60203285035559,-122.07760994217836,4162061.1485427883,581419.9658659282
12442,37.56589106420003,-122.0750402407801,4158053.522525124,581686.2860801131
12458,37.5973264889501,-122.06780203650226,4161547.536146731,582290.9195767352
12458,37.59605474223584,-122.06738497298981,4161406.8036460415,582329.1385385336
12458,37.59493847119366,-122.06643414563705,4161283.789393973,582414.3085689459
12458,37.59382219231224,-122.06548334679067,4161160.7751027984,582499.4785744617
12458,37.59267469894638,-122.06460552118607,4161034.234305913,582578.24320809
12458,37.59142796720821,-122.06395967459936,4160896.4797729338,582636.6396381148
12458,37.59018123173469,-122.06331384963741,4160758.7252140455,582695.036029497
12458,37.59087424859825,-122.06391993560808,4160835.080666837,582640.7603330656
