geoid,LATITUDE,LONGITUDE,Y,X
060014001001,37.85941899999975,-122.23038899999999,4190496.5083634043,567699.0816976093
060014002001,37.84984399999975,-122.24865099999998,4189421.058999057,566101.1852845061
060014002002,37.84663799999976,-122.25045499999999,4189064.072636797,565945.3284758355
060014003001,37.84356199999976,-122.248854,4188723.91759891,566088.9324831764
060014003002,37.837846999999755,-122.25458999999998,4188085.7863292936,565589.3093585792
060014003003,37.84021399999977,-122.25997199999999,4188344.6421896885,565113.6547115485
060014003004,37.84000599999975,-122.254207,4188325.599404293,565621.0975072951
060014004001,37.84995299999974,-122.25486199999999,4189428.7738555167,565554.6579358684
060014004002,37.84510099999975,-122.258947,4188887.576932071,565199.5411021824
060014004003,37.85006599999976,-122.258716,4189438.612517961,565215.4921070654
060014005001,37.84953199999975,-122.262905,4189376.446816732,564847.4216244516
060014005002,37.84661599999975,-122.267045,4189050.0451274836,564485.731375463
060014005003,37.84999599999975,-122.267357,4189424.845694826,564455.3386387667
060014006001,37.843359999999755,-122.264514,4188690.5381707763,564711.258307557
060014006002,37.84049199999976,-122.265556,4188371.6081004785,564622.0798687787
060014007001,37.84534899999976,-122.27254499999998,4188905.68570934,564002.9273442623
060014007002,37.84265999999977,-122.27254399999998,4188607.3381791958,564005.3394303051
060014007003,37.84043899999975,-122.271707,4188361.489288178,564080.9057201376
060014007004,37.83837999999975,-122.27168299999998,4188133.0570644564,564084.7989711373
060014008001,37.84802899999973,-122.28455300000002,4189194.8729578624,562944.1477460032
060014008002,37.84536999999977,-122.282446,4188901.2757320874,563131.7884575834
060014008003,37.84279099999977,-122.28226899999999,4188615.25199497,563149.5606937776
060014009001,37.84033099999975,-122.27974600000002,4188344.0209665643,563373.654769178
060014009002,37.83819999999976,-122.280908,4188106.79603029,563273.231906447
060014010001,37.83567199999977,-122.27086500000001,4187833.1626979075,564159.1215278078
060014010002,37.83417299999975,-122.27126200000001,4187666.574211413,564125.4852500889
060014010003,37.83226599999976,-122.27214499999998,4187454.38449192,564049.4331167755
060014010004,37.829038999999774,-122.269557,4187098.1229216326,564279.9734773529
060014010005,37.82677999999977,-122.27330399999998,4186844.9127265415,563952.1776678589
060014010006,37.82977399999976,-122.27489200000001,4187176.014279538,563809.8469531909
