id,LATITUDE,LONGITUDE,Y,X
st672,37.80031701937368,-122.25078833013654,4183924.4727109377,565957.2150805056
st227,37.76557449922877,-122.18228231032921,4180120.3108728994,572021.9823379563
st227,37.76458181467932,-122.18127046811479,4180010.951532266,572112.0676441235
st227,37.763599136400444,-122.18038971595114,4179902.60219355,572190.5990865505
st227,37.76261391966311,-122.17941410809813,4179794.045227882,572277.4901016227
st227,37.76162393107545,-122.17839817328637,4179684.9909176216,572367.9401514862
st1201,37.75046289381986,-122.17071620135523,4178452.6393684763,573055.5669378706
st1201,37.749270327626455,-122.16973698563866,4178321.088709004,573143.0061705178
st1201,37.74803580799346,-122.16882384774095,4178184.83251153,573224.6680867908
st1201,37.746802690292355,-122.16790769502018,4178048.7350175236,573306.5968721337
st1201,37.745567925584524,-122.16699508549601,4177912.4528115853,573388.2177705182
st1201,37.74433279859823,-122.16608327487691,4177776.130579905,573469.7712834147
st1201,37.743028418703794,-122.16536904407741,4177631.970267319,573533.9881675619
st1201,37.74166112809999,-122.16483437915296,4177480.6893145787,573582.4485459655
st202,37.852598071499585,-122.25710715441355,4189720.674824844,565354.7992278949
st202,37.85118510847875,-122.25681665651987,4189564.107692868,565381.6035220244
st998,37.84991573101846,-122.25688103522482,4189423.22317582,565377.0606369737
st998,37.848428457137075,-122.25665406130446,4189258.3667707737,565398.3429916293
st998,37.846940052835016,-122.25643860422441,4189093.3769606175,565418.6138363342
st998,37.845449815675764,-122.25624363139677,4188928.169518312,565437.0847505614
st2077,37.79308504435253,-122.21818980079766,4183145.58160928,568833.7968570974
st2077,37.79264912481585,-122.21668810941632,4183098.322720267,568966.4192636869
st2077,37.791997282436576,-122.21528594766318,4183027.035587686,569090.4810686335
st2077,37.79134285518278,-122.21388575987488,4182955.4620474763,569214.3736532608
st2077,37.79068714250945,-122.21248649007535,4182883.747050501,569338.1887882764
st2077,37.789878256030136,-122.21126120880841,4182794.909894565,569446.8299249308
st2077,37.78884185424214,-122.21029424107752,4182680.6390238977,569532.9420265215
st2165,37.79570272774396,-122.22141823188787,4183433.6434887024,568547.129272229
st2165,37.796932894191336,-122.22092825747517,4183570.490836783,568589.1303286975
st2165,37.79813956854941,-122.22112640720799,4183704.2269885903,568570.5695622313
st2165,37.79940660767261,-122.22094542462789,4183844.9388336553,568585.3315860872
st2091,37.784978446561325,-122.23426971285834,4182234.4323786986,567425.3996613445
st2091,37.78413707426857,-122.23283463708934,4182142.1174618118,567552.5311872944
st2091,37.78328612443328,-122.23140848667606,4182048.735388981,567678.8883685532
st2091,37.78243583138675,-122.22998172743971,4181955.4285417763,567805.3014374269
st2091,37.78158407937674,-122.22855635406007,4181861.960729842,567931.59667921
st2091,37.78073484937755,-122.22712860936238,4181768.7763729724,568058.1013038235
st2091,37.780062901252144,-122.22557457568358,4181695.355527727,568195.56706859
st2068,37.767289671637975,-122.18402838284504,4180309.2672413266,571866.5312639688
